20,1,1963,0.3,30.2,NaN,NaN,68
21,1,1963,0,30.9,NaN,NaN,55.75
22,1,1963,0,30.9,NaN,NaN,70.5
23,1,1963,11.6,30,NaN,NaN,73
24,1,1963,10.6,25.8,21.84,19,78.5
25,1,1963,1,30,24.6,20.2,60.75
26,1,1963,0,29.3,23.88,19.1,54.25
27,1,1963,0,30.2,24.78,19.1,52.5
28,1,1963,0,32.6,26.22,20.1,54.75
29,1,1963,0,31.2,25.34,21.2,70.25
30,1,1963,7.6,29.6,24.04,19.9,56.25
31,1,1963,0,28.4,23.26,17.9,57.5
1,2,1963,0,28.7,23.56,19.1,63
2,2,1963,4.5,29,22.8,18,73
3,2,1963,26,29.4,23.06,19.5,74.75
4,2,1963,2.1,29.4,23.56,18.7,70.25
5,2,1963,5,27.6,22.02,19.5,81.5
6,2,1963,23.9,24,21,19,91.25
7,2,1963,28,26,21.66,18.3,81.75
8,2,1963,11,26.4,21.66,19.1,85.25
9,2,1963,7.4,25.1,20.82,18,75.75
10,2,1963,0,24.2,20.98,18.4,74
11,2,1963,0,25.4,21.5,19.2,67.5
12,2,1963,0,28,23.3,19,69.25
13,2,1963,0,28.6,23.3,19.3,73
14,2,1963,7.2,29.2,22.74,18.3,74.75
15,2,1963,1.4,28.5,22.9,19.1,69
16,2,1963,0,27,21.94,19.3,83.25
17,2,1963,7,28.8,23.22,18.9,66.25
18,2,1963,0,29,23.62,19.1,65.5
19,2,1963,0.2,31.2,25.08,20.2,62.5
20,2,1963,0,30.6,25.5,20.5,63
21,2,1963,0,31.6,25.46,20.1,63.25
22,2,1963,0,28.6,23.5,20.8,82.25
23,2,1963,83,26,22.76,20,73.5
24,2,1963,3,27.1,22.58,19.6,71.75
25,2,1963,0,27.8,22.88,19.4,64
26,2,1963,0,30.6,25.1,19.9,60
27,2,1963,0,30,24.38,20.1,NaN
28,2,1963,0,30.2,24.62,19.1,65.75
1,3,1963,0,31.2,25.42,20.3,59
2,3,1963,0,30.3,25.44,20.9,63.75
3,3,1963,0,29.4,24.1,20.3,68.5
4,3,1963,0,27.9,23.36,20.5,69
5,3,1963,0,29,23.74,18.9,61
6,3,1963,0,30.4,25.22,20.1,66.75
7,3,1963,0,31.4,25.84,21.1,64.25
8,3,1963,0,30.8,24.62,18.9,60.75
9,3,1963,0,30.9,25.04,20.5,63.5
10,3,1963,0,30.4,25.38,20.3,55
11,3,1963,0,30.2,24.4,20,59
12,3,1963,0,29,23.74,18.9,63.25
13,3,1963,0,30.4,23.8,18.5,56.75
14,3,1963,0,32,25.14,18.7,55.5
15,3,1963,0,32.4,25.86,19.9,53
16,3,1963,0,30.5,24.62,21.6,69.5
17,3,1963,7,30.8,25.24,20.5,57.25
18,3,1963,0,31.6,25.08,19.8,57.75
19,3,1963,0,30.4,24.02,18.9,56.25
20,3,1963,0,33.4,23.98,18.7,67.75
21,3,1963,0,31.3,24.96,19.1,57
22,3,1963,0,32.2,26.06,20.1,54
23,3,1963,0,32,26.14,19.7,56.25
24,3,1963,0,32.2,25.38,19.3,49.25
25,3,1963,0,31.9,25.44,21.6,52.25
26,3,1963,0,32.2,25.02,19.7,59.5
27,3,1963,0,33.3,25.9,19.6,53.5
28,3,1963,0,31.4,25.7,20.7,48.75
29,3,1963,0,29.2,23.34,18.7,59.25
30,3,1963,0,26.8,22.82,18.1,61.75
31,3,1963,0,29.9,23.98,18.7,56.25
1,1,1964,2.2,27.2,22.28,20.3,82
2,1,1964,26.6,24.6,21,19,91.5
3,1,1964,34.1,27.8,21.74,18.1,83
4,1,1964,47,21.1,19.16,17.8,96
5,1,1964,18.7,23,20.32,17.6,88.25
6,1,1964,5.3,28.2,22.9,17.7,72.75
7,1,1964,0.2,28,23.46,19.5,73
8,1,1964,3.4,28,22.04,18.2,81.25
9,1,1964,5.2,28.2,23.22,19.5,81.5
10,1,1964,13.7,28.6,23.48,19.2,75.25
11,1,1964,9.8,23.9,21.04,19.7,82.25
12,1,1964,1.5,24,20.88,18.2,78.5
13,1,1964,5.3,21.2,20.26,19.3,96.5
14,1,1964,109.6,22.2,19.78,17.5,82.25
15,1,1964,0.4,22.7,19.4,17.5,82.75
16,1,1964,0.9,22.7,19.9,17.4,86.5
