20,4,1962,2.9,7.7,0,25.8,20.24,17.4,69.75,1.6667
21,4,1962,3.1,9.7,0,26.6,19.9,15.2,66.25,0.33333
22,4,1962,3,10.6,0,26.6,20.4,15.8,66.5,1
23,4,1962,3.2,9.9,0,27.2,20.92,16.4,65.75,1.3333
24,4,1962,3.4,9.5,0,28.1,22.3,18.4,66.5,1
25,4,1962,4.6,10.4,0,27.4,22,17.8,68.5,1.6667
26,4,1962,3.2,2.8,0,25.6,20.02,17.3,82.75,0.66667
27,4,1962,1.8,7,44.6,26.9,21.26,17.2,77,1.1667
28,4,1962,2,10.2,0,29.1,21.74,16.8,64.25,0
29,4,1962,2,1,0,24.6,21.34,18.7,87.25,0.63333
30,4,1962,1.5,4,0.8,27.8,21.4,18,79.5,0
1,5,1962,1.7,9.8,13.6,28.4,22.36,17.6,73.25,0.66667
2,5,1962,2.4,8.6,0,29.1,22.34,18.2,76,0
3,5,1962,2.5,2.9,2,25.5,20.8,18.5,86.5,0.83333
4,5,1962,1.4,8.2,0.7,24.7,19.74,16.6,72.5,2.1333
5,5,1962,3,9.3,0,24.5,18.58,14.2,79.25,2
6,5,1962,1.9,9.1,0,25.4,19.52,15.6,63,1.6
7,5,1962,3.6,11.2,0,25,18.1,11.2,57.75,0.83333
8,5,1962,5,10.8,0,21.6,15.66,11.5,67,3.2
9,5,1962,3.1,10.9,0,20.8,15.64,10.8,64.5,2.7
10,5,1962,3.5,5.5,0,19.6,14.84,11.8,69.75,2.1667
11,5,1962,2.9,8.1,0,20.6,16.2,10.4,72.25,4.0667
12,5,1962,3.6,0.3,0,20.4,16.64,14,81.25,1.7667
13,5,1962,1.7,7,0,23.4,17.96,13.8,67.25,2.5333
14,5,1962,2.9,7.4,0,21.4,17.8,14,64.5,2
15,5,1962,3,9.7,0,21.8,17.16,12.8,77.25,4.2667
16,5,1962,2.2,10.9,0,26,19.16,13.2,65.75,1.7667
17,5,1962,3.2,11,0,27.8,20.96,14.2,58.25,0
18,5,1962,3.4,10.8,0,29.2,22.12,15.2,60.75,0.66667
19,5,1962,3.8,10.8,0,25.2,20.36,15,70.75,4.0667
20,5,1962,3.1,7.5,0,24.1,18.98,15.5,76.75,3.1333
21,5,1962,2.5,10.7,0,25.4,20.24,15.8,67.5,2.4
22,5,1962,3,10.3,0,27.6,20.76,15.6,63,0
23,5,1962,3.2,10.1,0,27.4,21.04,14.8,56,0.76667
24,5,1962,3.3,10,0,27.4,20.52,14.4,55.25,0
25,5,1962,4.4,9.9,0,25.8,19.64,15.6,63.5,0.46667
26,5,1962,2.9,11,0,26.1,19.1,13.2,60.75,0
27,5,1962,3.6,10.3,0,26.6,20.2,12.8,56.5,1.6
28,5,1962,4.2,6,0,25.3,19.78,15.4,62.5,1.6667
29,5,1962,4.4,1.3,0,24.2,18.08,14.2,77.25,1.3333
30,5,1962,2.3,10.2,0.6,22.1,16.86,13.8,59.75,3.1
31,5,1962,4.1,4.5,0,22,14.4,9.8,59,3.8667
1,6,1962,8.1,10.8,0,19.6,14.72,10.6,65.75,5.0667
2,6,1962,3.8,10.8,0,20.2,15.44,11.6,62.75,5.6
3,6,1962,3.5,8.7,0,23.8,17.28,10,58.25,1.7333
4,6,1962,4.2,3.9,0,23.4,18.04,9.8,64.75,3.9
5,6,1962,2.3,1.8,0.2,22.7,16.4,9.6,83.5,2.9
6,6,1962,2.6,4.4,0.5,22,17.08,11,76.25,3.5667
7,6,1962,2,5,5,23.7,17.86,11.2,78,0
8,6,1962,1.6,3.5,4.8,25.6,18.64,12.8,76.75,1.3333
9,6,1962,2,0.4,1.2,24.5,17.14,9,76.75,1.0667
10,6,1962,2.2,4.8,0,23.5,18.26,14.2,68.25,2.8333
11,6,1962,2.8,5.2,0,21.8,16.16,12,62.25,1
12,6,1962,4.2,5.2,0,23,16.1,10.7,53.25,2
13,6,1962,4,5.3,0,23.7,16.82,11,60.5,1.9
14,6,1962,4.8,4.5,0,22.4,16.08,11.4,59,2.8333
15,6,1962,3.4,3,0,20.5,14.82,10.4,NaN,2
16,6,1962,3,4.7,0,22.8,15.36,9.8,62,2
17,6,1962,3.6,4.5,0,20.5,14.74,11.1,57.25,1.9667
