----- Grupo 1 -----
Aprendiz 40 93.81pts:  ->Erro Absoluto:1.6619 || ->Erro Relativo:0.0619 || ->Criterion: friedman_mse   ||  ->Spliter:  random  ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 50   ||  ->Max_features: auto  ||  ->Max_leaf_nodes: None
Aprendiz 41 93.77pts:  ->Erro Absoluto:1.6737 || ->Erro Relativo:0.0623 || ->Criterion: friedman_mse   ||  ->Spliter:  random  ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 100  ||  ->Max_features: auto  ||  ->Max_leaf_nodes: None
Aprendiz 43 92.88pts:  ->Erro Absoluto:1.8991 || ->Erro Relativo:0.0712 || ->Criterion: poisson        ||  ->Spliter:  random  ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 50   ||  ->Max_features: auto  ||  ->Max_leaf_nodes: None
Aprendiz 44 92.56pts:  ->Erro Absoluto:1.9914 || ->Erro Relativo:0.0744 || ->Criterion: poisson        ||  ->Spliter:  random  ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 100  ||  ->Max_features: auto  ||  ->Max_leaf_nodes: None
Aprendiz 45 93.84pts:  ->Erro Absoluto:1.6521 || ->Erro Relativo:0.0616 || ->Criterion: squared_error  ||  ->Spliter:  best    ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 50   ||  ->Max_features: auto  ||  ->Max_leaf_nodes: None
Aprendiz 46 93.88pts:  ->Erro Absoluto:1.6427 || ->Erro Relativo:0.0612 || ->Criterion: squared_error  ||  ->Spliter:  best    ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 100  ||  ->Max_features: auto  ||  ->Max_leaf_nodes: None
Aprendiz 47 93.84pts:  ->Erro Absoluto:1.6521 || ->Erro Relativo:0.0616 || ->Criterion: friedman_mse   ||  ->Spliter:  best    ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 50   ||  ->Max_features: auto  ||  ->Max_leaf_nodes: None
Aprendiz 48 93.88pts:  ->Erro Absoluto:1.6427 || ->Erro Relativo:0.0612 || ->Criterion: friedman_mse   ||  ->Spliter:  best    ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 100  ||  ->Max_features: auto  ||  ->Max_leaf_nodes: None
Aprendiz 49 91.68pts:  ->Erro Absoluto:2.2255 || ->Erro Relativo:0.0832 || ->Criterion: poisson        ||  ->Spliter:  best    ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 50   ||  ->Max_features: auto  ||  ->Max_leaf_nodes: None
Aprendiz 50 91.89pts:  ->Erro Absoluto:2.1659 || ->Erro Relativo:0.0811 || ->Criterion: poisson        ||  ->Spliter:  best    ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 100  ||  ->Max_features: auto  ||  ->Max_leaf_nodes: None

Aprendiz 51 92.62pts:  ->Erro Absoluto:1.9855 || ->Erro Relativo:0.0738 || ->Criterion: squared_error  ||  ->Spliter:  random  ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 50   ||  ->Max_features: log2  ||  ->Max_leaf_nodes: None
Aprendiz 52 92.68pts:  ->Erro Absoluto:1.9732 || ->Erro Relativo:0.0732 || ->Criterion: squared_error  ||  ->Spliter:  random  ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 100  ||  ->Max_features: log2  ||  ->Max_leaf_nodes: None
Aprendiz 53 92.69pts:  ->Erro Absoluto:1.965  || ->Erro Relativo:0.0731 || ->Criterion: friedman_mse   ||  ->Spliter:  random  ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 50   ||  ->Max_features: log2  ||  ->Max_leaf_nodes: None
Aprendiz 54 92.52pts:  ->Erro Absoluto:2.0134 || ->Erro Relativo:0.0748 || ->Criterion: friedman_mse   ||  ->Spliter:  random  ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 100  ||  ->Max_features: log2  ||  ->Max_leaf_nodes: None
Aprendiz 55 92.1pts:   ->Erro Absoluto:2.12   || ->Erro Relativo:0.079  || ->Criterion: poisson        ||  ->Spliter:  random  ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 50   ||  ->Max_features: log2  ||  ->Max_leaf_nodes: None
Aprendiz 56 91.92pts:  ->Erro Absoluto:2.1723 || ->Erro Relativo:0.0808 || ->Criterion: poisson        ||  ->Spliter:  random  ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 100  ||  ->Max_features: log2  ||  ->Max_leaf_nodes: None
Aprendiz 57 93.37pts:  ->Erro Absoluto:1.7818 || ->Erro Relativo:0.0663 || ->Criterion: squared_error  ||  ->Spliter:  best    ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 50   ||  ->Max_features: log2  ||  ->Max_leaf_nodes: None
Aprendiz 58 93.39pts:  ->Erro Absoluto:1.7771 || ->Erro Relativo:0.0661 || ->Criterion: squared_error  ||  ->Spliter:  best    ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 100  ||  ->Max_features: log2  ||  ->Max_leaf_nodes: None
Aprendiz 59 93.4pts:   ->Erro Absoluto:1.7733 || ->Erro Relativo:0.066  || ->Criterion: friedman_mse   ||  ->Spliter:  best    ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 50   ||  ->Max_features: log2  ||  ->Max_leaf_nodes: None
Aprendiz 60 93.29pts:  ->Erro Absoluto:1.8036 || ->Erro Relativo:0.0671 || ->Criterion: friedman_mse   ||  ->Spliter:  best    ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 100  ||  ->Max_features: log2  ||  ->Max_leaf_nodes: None
Aprendiz 61 91.74pts:  ->Erro Absoluto:2.2084 || ->Erro Relativo:0.0826 || ->Criterion: poisson        ||  ->Spliter:  best    ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 50   ||  ->Max_features: log2  ||  ->Max_leaf_nodes: None
Aprendiz 62 91.94pts:  ->Erro Absoluto:2.1507 || ->Erro Relativo:0.0806 || ->Criterion: poisson        ||  ->Spliter:  best    ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 100  ||  ->Max_features: log2  ||  ->Max_leaf_nodes: None

Aprendiz 63 92.79pts:  ->Erro Absoluto:1.9395 || ->Erro Relativo:0.0721 || ->Criterion: squared_error  ||  ->Spliter:  random  ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 50   ||  ->Max_features: sqrt  ||  ->Max_leaf_nodes: None
Aprendiz 64 92.69pts:  ->Erro Absoluto:1.9714 || ->Erro Relativo:0.0731 || ->Criterion: squared_error  ||  ->Spliter:  random  ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 100  ||  ->Max_features: sqrt  ||  ->Max_leaf_nodes: None
Aprendiz 65 92.73pts:  ->Erro Absoluto:1.9566 || ->Erro Relativo:0.0727 || ->Criterion: friedman_mse   ||  ->Spliter:  random  ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 50   ||  ->Max_features: sqrt  ||  ->Max_leaf_nodes: None
Aprendiz 66 92.54pts:  ->Erro Absoluto:2.0119 || ->Erro Relativo:0.0746 || ->Criterion: friedman_mse   ||  ->Spliter:  random  ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 100  ||  ->Max_features: sqrt  ||  ->Max_leaf_nodes: None
Aprendiz 67 91.97pts:  ->Erro Absoluto:2.1545 || ->Erro Relativo:0.0803 || ->Criterion: poisson        ||  ->Spliter:  random  ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 50   ||  ->Max_features: sqrt  ||  ->Max_leaf_nodes: None
Aprendiz 68 91.9pts:   ->Erro Absoluto:2.1774 || ->Erro Relativo:0.081  || ->Criterion: poisson        ||  ->Spliter:  random  ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 100  ||  ->Max_features: sqrt  ||  ->Max_leaf_nodes: None
Aprendiz 69 93.36pts:  ->Erro Absoluto:1.7832 || ->Erro Relativo:0.0664 || ->Criterion: squared_error  ||  ->Spliter:  best    ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 50   ||  ->Max_features: sqrt  ||  ->Max_leaf_nodes: None
Aprendiz 70 93.36pts:  ->Erro Absoluto:1.7869 || ->Erro Relativo:0.0664 || ->Criterion: squared_error  ||  ->Spliter:  best    ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 100  ||  ->Max_features: sqrt  ||  ->Max_leaf_nodes: None
Aprendiz 71 93.39pts:  ->Erro Absoluto:1.7778 || ->Erro Relativo:0.0661 || ->Criterion: friedman_mse   ||  ->Spliter:  best    ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 50   ||  ->Max_features: sqrt  ||  ->Max_leaf_nodes: None
Aprendiz 72 93.37pts:  ->Erro Absoluto:1.784  || ->Erro Relativo:0.0663 || ->Criterion: friedman_mse   ||  ->Spliter:  best    ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 100  ||  ->Max_features: sqrt  ||  ->Max_leaf_nodes: None
Aprendiz 73 91.84pts:  ->Erro Absoluto:2.1787 || ->Erro Relativo:0.0816 || ->Criterion: poisson        ||  ->Spliter:  best    ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 50   ||  ->Max_features: sqrt  ||  ->Max_leaf_nodes: None
Aprendiz 74 91.97pts:  ->Erro Absoluto:2.1428 || ->Erro Relativo:0.0803 || ->Criterion: poisson        ||  ->Spliter:  best    ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 100  ||  ->Max_features: sqrt  ||  ->Max_leaf_nodes: None
