26 -> Machine Learning: Decision Trees  ||  Triangulação: Regional Weight  || Meta Learning: Neural network  |Resultados para 1 testes| --> Erro Absoluto: 0.03954618100265927  |  Erro Relativo: 0.0012281422671633312  |  Erro(%): 3.9546181002659266  |  R2: 0.0047061506855636814
27 -> Machine Learning: Decision Trees  ||  Triangulação: Regional Weight  || Meta Learning: Nearest Neighbors  |Resultados para 1 testes| --> Erro Absoluto: 0.043616  |  Erro Relativo: 0.0013545341614906831  |  Erro(%): 4.3616  |  R2: -0.039621266880853545
28 -> Machine Learning: Decision Trees  ||  Triangulação: Regional Weight  || Meta Learning: Support Vector  |Resultados para 1 testes| --> Erro Absoluto: 0.036635055996468366  |  Erro Relativo: 0.0011377346582754151  |  Erro(%): 3.6635055996468364  |  R2: 0.11613998885270038
29 -> Machine Learning: Decision Trees  ||  Triangulação: Optimized Normal Ratio  || Meta Learning: Decision Trees  |Resultados para 1 testes| --> Erro Absoluto: 0.07040444444444445  |  Erro Relativo: 0.0021864734299516905  |  Erro(%): 7.040444444444445  |  R2: 0.13943888023980522
30 -> Machine Learning: Decision Trees  ||  Triangulação: Optimized Normal Ratio  || Meta Learning: Neural network  |Resultados para 1 testes| --> Erro Absoluto: 0.039633435849658394  |  Erro Relativo: 0.001230852045020447  |  Erro(%): 3.9633435849658394  |  R2: 0.006201482832105976
31 -> Machine Learning: Decision Trees  ||  Triangulação: Optimized Normal Ratio  || Meta Learning: Nearest Neighbors  |Resultados para 1 testes| --> Erro Absoluto: 0.04362133333333334  |  Erro Relativo: 0.0013546997929606629  |  Erro(%): 4.362133333333333  |  R2: 0.012787474735623361
32 -> Machine Learning: Decision Trees  ||  Triangulação: Optimized Normal Ratio  || Meta Learning: Support Vector  |Resultados para 1 testes| --> Erro Absoluto: 0.045038853633298  |  Erro Relativo: 0.0013987221625247827  |  Erro(%): 4.5038853633298  |  R2: 0.08376723556572374
33 -> Machine Learning: Neural network  ||  Triangulação: Arithmetic Average  || Meta Learning: Decision Trees  |Resultados para 1 testes| --> Erro Absoluto: 0.07065777777777778  |  Erro Relativo: 0.0021943409247757073  |  Erro(%): 7.065777777777778  |  R2: -0.5028407318827692
34 -> Machine Learning: Neural network  ||  Triangulação: Arithmetic Average  || Meta Learning: Neural network  |Resultados para 1 testes| --> Erro Absoluto: 0.03936754367902271  |  Erro Relativo: 0.0012225945241932518  |  Erro(%): 3.936754367902271  |  R2: -0.013830912311835863
35 -> Machine Learning: Neural network  ||  Triangulação: Arithmetic Average  || Meta Learning: Nearest Neighbors  |Resultados para 1 testes| --> Erro Absoluto: 0.030540444444444446  |  Erro Relativo: 0.0009484610075914424  |  Erro(%): 3.0540444444444446  |  R2: 0.6771347508585173
36 -> Machine Learning: Neural network  ||  Triangulação: Arithmetic Average  || Meta Learning: Support Vector  |Resultados para 1 testes| --> Erro Absoluto: 0.03731176079124525  |  Erro Relativo: 0.00115875033513184  |  Erro(%): 3.7311760791245248  |  R2: 0.6225896969752605
37 -> Machine Learning: Neural network  ||  Triangulação: Inverse Distance Weighted  || Meta Learning: Decision Trees  |Resultados para 1 testes| --> Erro Absoluto: 0.0035555555555555588  |  Erro Relativo: 0.00011042097998619746  |  Erro(%): 0.3555555555555559  |  R2: -0.5535498998859563
38 -> Machine Learning: Neural network  ||  Triangulação: Inverse Distance Weighted  || Meta Learning: Neural network  |Resultados para 1 testes| --> Erro Absoluto: 0.03963854966778877  |  Erro Relativo: 0.001231010859248098  |  Erro(%): 3.963854966778877  |  R2: 0.01549762001084054
39 -> Machine Learning: Neural network  ||  Triangulação: Inverse Distance Weighted  || Meta Learning: Nearest Neighbors  |Resultados para 1 testes| --> Erro Absoluto: 0.05703377777777778  |  Erro Relativo: 0.0017712353347135955  |  Erro(%): 5.703377777777778  |  R2: -0.03929133075378233
40 -> Machine Learning: Neural network  ||  Triangulação: Inverse Distance Weighted  || Meta Learning: Support Vector  |Resultados para 1 testes| --> Erro Absoluto: 0.0356687193187837  |  Erro Relativo: 0.0011077242024466988  |  Erro(%): 3.5668719318783704  |  R2: 0.6525499543079752
41 -> Machine Learning: Neural network  ||  Triangulação: Regional Weight  || Meta Learning: Decision Trees  |Resultados para 1 testes| --> Erro Absoluto: 0.006222222222222231  |  Erro Relativo: 0.00019323671497584568  |  Erro(%): 0.6222222222222231  |  R2: -0.7805305014294552
42 -> Machine Learning: Neural network  ||  Triangulação: Regional Weight  || Meta Learning: Neural network  |Resultados para 1 testes| --> Erro Absoluto: 0.03984314377157659  |  Erro Relativo: 0.0012373647134029998  |  Erro(%): 3.9843143771576592  |  R2: -0.0005270261594820802
43 -> Machine Learning: Neural network  ||  Triangulação: Regional Weight  || Meta Learning: Nearest Neighbors  |Resultados para 1 testes| --> Erro Absoluto: 0.05698844444444445  |  Erro Relativo: 0.0017698274672187718  |  Erro(%): 5.698844444444445  |  R2: 0.1995493263190794
44 -> Machine Learning: Neural network  ||  Triangulação: Regional Weight  || Meta Learning: Support Vector  |Resultados para 1 testes| --> Erro Absoluto: 0.040976229837149054  |  Erro Relativo: 0.0012725537216505915  |  Erro(%): 4.097622983714905  |  R2: 0.25499589970777614
45 -> Machine Learning: Neural network  ||  Triangulação: Optimized Normal Ratio  || Meta Learning: Decision Trees  |Resultados para 1 testes| --> Erro Absoluto: 0.07075111111111113  |  Erro Relativo: 0.0021972394755003454  |  Erro(%): 7.075111111111113  |  R2: 0.2720154601953456
46 -> Machine Learning: Neural network  ||  Triangulação: Optimized Normal Ratio  || Meta Learning: Neural network  |Resultados para 1 testes| --> Erro Absoluto: 0.04045924445395964  |  Erro Relativo: 0.0012564982749676905  |  Erro(%): 4.045924445395964  |  R2: -0.01824710141755226
47 -> Machine Learning: Neural network  ||  Triangulação: Optimized Normal Ratio  || Meta Learning: Nearest Neighbors  |Resultados para 1 testes| --> Erro Absoluto: 0.030540444444444446  |  Erro Relativo: 0.0009484610075914424  |  Erro(%): 3.0540444444444446  |  R2: 0.8218781934094797
