2001, 9, 20, '22.55', '31.1', '23.1', '1.266667', ''
2001, 9, 21, '22.775', '28.9', '23.7', '1.045833', ''
2001, 9, 22, '22.425', '33.4', '21.7', '1.0125', ''
2001, 9, 23, '22.275', '33.4', '23', '1.408333', ''
2001, 9, 24, '22.858333', '33.7', '23.3', '.683333', ''
2001, 9, 25, '23.191667', '34', '23.9', '.970833', ''
2001, 9, 26, '22.025', '34.4', '24.2', '1.191667', ''
2001, 9, 27, '22.316667', '35.1', '23.6', '1.166667', ''
2001, 9, 28, '22.2375', '34.5', '24.3', '1.7375', ''
2001, 9, 29, '22.033333', '34.6', '24.6', '1.841667', ''
2001, 9, 30, '23.020833', '33.1', '23.3', '.808333', ''
2001, 10, 1, '22.0875', '34.7', '23.3', '1.0875', ''
2001, 10, 2, '21.954167', '35.1', '24.1', '1.533333', ''
2001, 10, 3, '22.445833', '35.5', '24.7', '1.625', ''
2001, 10, 4, '22.9', '34.8', '24.1', '1.441667', ''
2001, 10, 5, '21.129167', '35.9', '25.8', '1.754167', ''
2001, 10, 6, '21.129167', '35.7', '24.4', '1.045833', ''
2001, 10, 7, '22.575', '35.1', '25.4', '1.191667', ''
2001, 10, 8, '22.616667', '35.5', '25.2', '1.454167', ''
2001, 10, 9, '22.3', '34.1', '25.6', '1.241667', ''
2001, 10, 25, '22.004167', '34', '22.8', '1.35', ''
2001, 10, 26, '22.034783', '29.3', '22.4', '1.065217', ''
2001, 10, 27, '21.730435', '34.2', '22.3', '1.686957', ''
2001, 10, 28, '22.195833', '35.2', '25.6', '1.941667', ''
2001, 10, 29, '23.313636', '36.1', '24.1', '1.554545', ''
2001, 10, 30, '23.065217', '35.4', '25.3', '1.747826', ''
2001, 10, 31, '23.008696', '30.2', '24.4', '1.386957', ''
2001, 11, 5, '23.1625', '34.3', '25.3', '1.645833', ''
2001, 11, 6, '23.216667', '34.7', '23.5', '1.145833', ''
2001, 11, 7, '23.257143', '35.2', '25', '1.228571', ''
2001, 11, 8, '22.9875', '30.8', '25.1', '1.3125', ''
2001, 11, 9, '23.3625', '31.5', '23.7', '1.070833', ''
2001, 11, 10, '23.145833', '30.9', '23.6', '.9625', ''
2001, 11, 11, '22.883333', '34', '22.8', '1.4', ''
2001, 11, 12, '21.958333', '34.7', '24.1', '1.175', ''
2001, 11, 13, '22.245833', '34.4', '24.1', '1.254167', ''
