2011, 9, 20, '21.695833', '32.7', '22', '2.325', ''
2011, 9, 21, '21.508333', '33.9', '21.5', '2.458333', ''
2011, 9, 22, '21.9', '33.8', '22.3', '2.695833', ''
2011, 9, 23, '22.3875', '33.5', '22.1', '2.4875', ''
2011, 9, 24, '22.0375', '33.6', '22.1', '2.6125', ''
2011, 9, 25, '21.7625', '34.2', '21.4', '2.6625', ''
2011, 9, 26, '22.329167', '32.8', '22.3', '2.770833', ''
2011, 9, 27, '21.941667', '32.8', '22.2', '2.816667', ''
2011, 9, 28, '20.9375', '33.3', '21.4', '2.333333', ''
2011, 9, 29, '21.125', '33.7', '20.1', '2.641667', ''
2011, 9, 30, '21.170833', '33.8', '20.4', '2.841667', ''
2011, 10, 1, '20.791667', '32.8', '20.5', '2.329167', ''
2011, 10, 2, '21.541667', '32.3', '20.9', '2.316667', ''
2011, 10, 3, '21.725', '30.9', '21.7', '2.433333', ''
2011, 10, 4, '21.15', '33.1', '20.7', '2.4625', ''
2011, 10, 5, '21.504167', '33.7', '21.4', '2.441667', ''
2011, 10, 6, '21.066667', '33.2', '21.1', '2.616667', ''
2011, 10, 7, '20.895833', '33.8', '21', '2.745833', ''
2011, 10, 8, '21.85', '33.2', '22.5', '2.625', ''
2011, 10, 9, '21.675', '33.7', '22', '2.466667', ''
2011, 10, 10, '21.508333', '33.6', '21.6', '2.983333', ''
2011, 10, 11, '21.133333', '34.2', '21.8', '2.279167', ''
2011, 10, 12, '21.570833', '33.8', '22.5', '2.5875', ''
2011, 10, 13, '21.429167', '34.8', '22.1', '2.65', ''
2011, 10, 14, '21.195833', '34.1', '21.9', '2.6875', ''
2011, 10, 15, '21.125', '34.4', '20.9', '2.195833', ''
2011, 10, 16, '20.8125', '35.2', '20.7', '2.245833', ''
2011, 10, 17, '21.754167', '34.9', '22.3', '2.441667', ''
2011, 10, 18, '21.991667', '35.1', '22.7', '2.1375', ''
2011, 10, 19, '21.354167', '33.8', '20.5', '1.879167', ''
2011, 10, 20, '21.720833', '30.2', '23', '2.320833', ''
2011, 10, 21, '20.6875', '31.3', '20.7', '2.254167', ''
2011, 10, 22, '21.879167', '29.5', '22', '2.091667', ''
2011, 10, 23, '21.345833', '34.6', '20.7', '2.325', ''
2011, 10, 24, '22.304167', '33.5', '21.8', '2.783333', ''
2011, 10, 25, '21.779167', '32.9', '21.9', '2.720833', ''
2011, 10, 26, '21.083333', '33.3', '20.2', '2.5375', ''
2011, 10, 27, '21.291667', '33.2', '21.4', '2.8125', ''
2011, 10, 28, '21.479167', '33.4', '20.9', '2.266667', ''
2011, 10, 29, '22.566667', '31.8', '22', '2.016667', ''
2011, 10, 30, '21.783333', '32.3', '22.1', '2.1625', ''
2011, 10, 31, '21.2', '33.4', '20.6', '1.641667', ''
2011, 11, 1, '22.1125', '33.2', '21.2', '1.816667', ''
2011, 11, 2, '22.3', '31.7', '22.3', '2.2875', ''
2011, 11, 3, '21.533333', '32.8', '21.6', '2.545833', ''
2011, 11, 4, '20.929167', '33.3', '21.5', '2.516667', ''
2011, 11, 5, '22.475', '32.7', '23.2', '2.675', ''
2011, 11, 6, '22.608333', '32.8', '23.2', '2.8125', ''
2011, 11, 7, '20.858333', '33.3', '21.1', '2.616667', ''
2011, 11, 8, '21.029167', '34', '20.9', '2.333333', ''
2011, 11, 9, '21.579167', '33.5', '22', '2.666667', ''
2011, 11, 10, '21.658333', '33.2', '21.9', '2.904167', ''
2011, 11, 11, '21.35', '33.3', '21.8', '2.558333', ''
2011, 11, 12, '21.995833', '34.1', '21.9', '2.5', ''
2011, 11, 13, '22.1125', '31.9', '23', '2.566667', ''
2011, 11, 14, '20.245833', '32.7', '21.9', '2.433333', ''
2011, 11, 15, '20.825', '34', '20.3', '2.3625', ''
2011, 11, 16, '21.8125', '34.1', '22.3', '2.6875', ''
2011, 11, 17, '21.141667', '33.9', '20.9', '2.379167', ''
2011, 11, 18, '21.0125', '34', '21.2', '2.520833', ''
2011, 11, 19, '20.970833', '33.7', '19.4', '2.241667', ''
2011, 11, 20, '21.091667', '33.8', '20.4', '2.1125', ''
2011, 11, 21, '21.266667', '33.4', '21.4', '2.575', ''
2011, 11, 22, '20.654167', '34.3', '20.1', '2.754167', ''
2011, 11, 23, '20.175', '34.5', '19.1', '2.366667', ''
2011, 11, 24, '21.604167', '34.4', '22.1', '2.408333', ''
2011, 11, 25, '21.820833', '32.4', '21.1', '2.558333', ''
2011, 11, 26, '21.525', '34', '23.3', '2.083333', ''
2011, 11, 27, '20.029167', '35', '19.6', '2.5375', ''
2011, 11, 28, '20.679167', '35.2', '19.9', '2.4375', ''
2011, 11, 29, '21.670833', '34.5', '21.4', '2.341667', ''
2011, 11, 30, '21.791667', '33.8', '21.7', '2.658333', ''
2011, 12, 1, '21.558333', '32.6', '20.7', '2.016667', ''
2011, 12, 2, '22.1', '33.4', '22.3', '2.541667', ''
2011, 12, 3, '20.158333', '34.5', '20.6', '2.704167', ''
2011, 12, 4, '19.658333', '34.4', '20.2', '2.7375', ''
2011, 12, 5, '20.570833', '35.4', '21.3', '2.708333', ''
2011, 12, 6, '20.883333', '35.1', '21.2', '2.4125', ''
2011, 12, 7, '21.558333', '34.1', '22.1', '2.575', ''
2011, 12, 8, '21.054167', '33.2', '20.9', '2.295833', ''
2011, 12, 9, '20.3875', '35.2', '20.8', '2.529167', ''
2011, 12, 10, '20.854167', '35.4', '21.6', '2.825', ''
2011, 12, 11, '20.758333', '34.3', '21.7', '3.4125', ''
2011, 12, 12, '20.779167', '35.4', '20.2', '2.704167', ''
2011, 12, 13, '21.1375', '35.6', '21.9', '3.195833', ''
2011, 12, 14, '21.008333', '34.5', '22', '3.0375', ''
2011, 12, 15, '20.708333', '34.3', '22.5', '3.3375', ''
2011, 12, 16, '20.3625', '34.6', '21.7', '3.408333', ''
2011, 12, 17, '19.675', '36.2', '21.3', '3.141667', ''
2011, 12, 18, '20.85', '34.3', '21.7', '2.904167', ''
2011, 12, 19, '19.941667', '34.5', '21.1', '2.933333', ''
2011, 12, 20, '21.070833', '35.7', '22.4', '3.208333', ''
2011, 12, 21, '21.85', '35', '22', '2.429167', ''
2011, 12, 22, '21.429167', '33.8', '21.8', '3.1625', ''
